year,sex,age_group,population
2003,females,65–74,686926
2003,females,75–84,513485
2003,females,85+,192316
2003,males,0–4,650616
2003,males,15–24,1380398
2003,males,25–34,1424012
2003,males,35–44,1476131
2003,males,45–54,1340010
2003,males,55–64,1011967
2003,males,5–14,1385863
2003,males,65–74,649899
2003,males,75–84,381554
2003,males,85+,87147
2004,females,0–4,618674
2004,females,15–24,1347265
2004,females,25–34,1428947
2004,females,35–44,1501617
2004,females,45–54,1375116
2004,females,55–64,1033957
2004,females,5–14,1316178
2004,females,65–74,694540
2004,females,75–84,523992
2004,females,85+,196485
2004,males,0–4,651502
2004,males,15–24,1401350
2004,males,25–34,1423871
2004,males,35–44,1480004
2004,males,45–54,1359217
2004,males,55–64,1048297
2004,males,5–14,1387870
2004,males,65–74,658864
2004,males,75–84,395183
2004,males,85+,89793
2005,females,0–4,621496
2005,females,15–24,1368394
2005,females,25–34,1427351
2005,females,35–44,1507906
2005,females,45–54,1398134
2005,females,55–64,1076623
2005,females,5–14,1317433
2005,females,65–74,703991
2005,females,75–84,530203
2005,females,85+,205680
2005,males,0–4,656043
2005,males,15–24,1425786
2005,males,25–34,1425720
2005,males,35–44,1488138
2005,males,45–54,1378414
2005,males,55–64,1085108
2005,males,5–14,1388419
2005,males,65–74,669980
2005,males,75–84,405514
2005,males,85+,96511
2006,females,0–4,630082
2006,females,15–24,1390083
2006,females,25–34,1425603
2006,females,35–44,1522355
2006,females,45–54,1423813
2006,females,55–64,1117026
2006,females,5–14,1318563
2006,females,65–74,714875
2006,females,75–84,533716
2006,females,85+,215426
2006,males,0–4,664456
2006,males,15–24,1451034
2006,males,25–34,1430129
2006,males,35–44,1502917
2006,males,45–54,1401754
2006,males,55–64,1119801
2006,males,5–14,1389286
2006,males,65–74,682378
2006,males,75–84,414403
2006,males,85+,103266
2007,females,0–4,650228
2007,females,15–24,1416645
2007,females,25–34,1439314
2007,females,35–44,1540621
2007,females,45–54,1453312
2007,females,55–64,1154962
2007,females,5–14,1320198
2007,females,65–74,735456
2007,females,75–84,537037
2007,females,85+,226213
2007,males,0–4,686251
2007,males,15–24,1487217
2007,males,25–34,1448788
2007,males,35–44,1519296
2007,males,45–54,1429596
2007,males,55–64,1154400
2007,males,5–14,1390184
2007,males,65–74,705429
2007,males,75–84,421552
2007,males,85+,110923
2008,females,0–4,672841
2008,females,15–24,1447280
2008,females,25–34,1470699
2008,females,35–44,1555579
2008,females,45–54,1480279
2008,females,55–64,1194989
2008,females,5–14,1323826
2008,females,65–74,756467
2008,females,75–84,539980
2008,females,85+,235214
2008,males,0–4,710252
2008,males,15–24,1526694
2008,males,25–34,1487653
2008,males,35–44,1533383
2008,males,45–54,1455359
2008,males,55–64,1191221
2008,males,5–14,1393977
2008,males,65–74,728570
2008,males,75–84,427594
2008,males,85+,117342
2009,females,0–4,693715
2009,females,15–24,1478750
2009,females,25–34,1514063
2009,females,35–44,1569622
2009,females,45–54,1504960
2009,females,55–64,1225948
2009,females,5–14,1330765
2009,females,65–74,786140
2009,females,75–84,542671
2009,females,85+,244222
2009,males,0–4,731969
2009,males,15–24,1565064
2009,males,25–34,1539623
2009,males,35–44,1546721
2009,males,45–54,1479552
2009,males,55–64,1218744
2009,males,5–14,1401591
2009,males,65–74,760021
2009,males,75–84,433505
2009,males,85+,124007
2010,females,0–4,707690
2010,females,15–24,1491713
2010,females,25–34,1549508
2010,females,35–44,1580487
2010,females,45–54,1521066
2010,females,55–64,1256972
2010,females,5–14,1336757
2010,females,65–74,818018
2010,females,75–84,546698
2010,females,85+,255010
2010,males,0–4,746322
2010,males,15–24,1573389
2010,males,25–34,1575945
2010,males,35–44,1557161
2010,males,45–54,1494321
2010,males,55–64,1245815
2010,males,5–14,1407929
2010,males,65–74,795271
2010,males,75–84,440094
2010,males,85+,131584
2011,females,0–4,709587
2011,females,15–24,1495053
2011,females,25–34,1584036
2011,females,35–44,1592202
2011,females,45–54,1532126
2011,females,55–64,1288726
2011,females,5–14,1351751
