survival_type,period,sex,age_group,years_since_dx,subtype,survival_pct,ci_lower,ci_upper
Observed,2007–2011,persons,55–64,4,follicular,0.905,0.888,0.919
Observed,2007–2011,persons,65–74,4,follicular,0.854,0.831,0.874
Observed,2007–2011,persons,75–84,4,follicular,0.649,0.613,0.683
Observed,2007–2011,persons,85+,4,follicular,0.387,0.311,0.461
Observed,2007–2011,persons,5–14,5,follicular,NA,NA,NA
Observed,2007–2011,persons,15–24,5,follicular,NA,NA,NA
Observed,2007–2011,persons,25–34,5,follicular,0.958,0.891,0.9840000000000002
Observed,2007–2011,persons,35–44,5,follicular,0.95,0.924,0.968
Observed,2007–2011,persons,45–54,5,follicular,0.927,0.908,0.942
Observed,2007–2011,persons,55–64,5,follicular,0.885,0.866,0.901
Observed,2007–2011,persons,65–74,5,follicular,0.817,0.792,0.839
Observed,2007–2011,persons,75–84,5,follicular,0.571,0.533,0.607
Observed,2007–2011,persons,85+,5,follicular,0.311,0.238,0.387
Observed,2007–2021,females,5–14,1,follicular,NA,NA,NA
Observed,2007–2021,females,15–24,1,follicular,NA,NA,NA
Observed,2007–2021,females,25–34,1,follicular,1,0.972,1
Observed,2007–2021,females,35–44,1,follicular,0.998,0.9860000000000002,1
Observed,2007–2021,females,45–54,1,follicular,0.9920000000000002,0.9850000000000002,0.995
Observed,2007–2021,females,55–64,1,follicular,0.9870000000000002,0.981,0.9910000000000002
Observed,2007–2021,females,65–74,1,follicular,0.976,0.968,0.981
Observed,2007–2021,females,75–84,1,follicular,0.921,0.906,0.934
Observed,2007–2021,females,85+,1,follicular,0.783,0.74,0.82
Observed,2007–2021,females,5–14,2,follicular,NA,NA,NA
Observed,2007–2021,females,15–24,2,follicular,NA,NA,NA
Observed,2007–2021,females,25–34,2,follicular,1,0.972,1
Observed,2007–2021,females,35–44,2,follicular,0.9920000000000002,0.979,0.997
Observed,2007–2021,females,45–54,2,follicular,0.979,0.969,0.9850000000000002
Observed,2007–2021,females,55–64,2,follicular,0.973,0.965,0.979
Observed,2007–2021,females,65–74,2,follicular,0.952,0.941,0.96
Observed,2007–2021,females,75–84,2,follicular,0.867,0.848,0.884
Observed,2007–2021,females,85+,2,follicular,0.629,0.58,0.674
Observed,2007–2021,females,5–14,3,follicular,NA,NA,NA
Observed,2007–2021,females,15–24,3,follicular,NA,NA,NA
Observed,2007–2021,females,25–34,3,follicular,1,0.972,1
Observed,2007–2021,females,35–44,3,follicular,0.9880000000000002,0.974,0.995
Observed,2007–2021,females,45–54,3,follicular,0.966,0.955,0.975
Observed,2007–2021,females,55–64,3,follicular,0.959,0.95,0.967
Observed,2007–2021,females,65–74,3,follicular,0.917,0.905,0.929
Observed,2007–2021,females,75–84,3,follicular,0.811,0.789,0.831
Observed,2007–2021,females,85+,3,follicular,0.511,0.461,0.56
Observed,2007–2021,females,5–14,4,follicular,NA,NA,NA
Observed,2007–2021,females,15–24,4,follicular,NA,NA,NA
Observed,2007–2021,females,25–34,4,follicular,0.9910000000000002,0.935,0.999
Observed,2007–2021,females,35–44,4,follicular,0.983,0.967,0.9910000000000002
Observed,2007–2021,females,45–54,4,follicular,0.956,0.943,0.966
Observed,2007–2021,females,55–64,4,follicular,0.944,0.933,0.953
