year,sex,age_group,population
2047,males,35–44,2323872
2047,males,45–54,2118718
2047,males,55–64,1996306
2047,males,5–14,1830922
2047,males,65–74,1594162
2047,males,75–84,1250595
2047,males,85+,618181
2048,females,0–4,863692
2048,females,15–24,1881012
2048,females,25–34,2182394
2048,females,35–44,2310575
2048,females,45–54,2151295
2048,females,55–64,2146452
2048,females,5–14,1753344
2048,females,65–74,1774064
2048,females,75–84,1468474
2048,females,85+,874623
2048,males,0–4,910425
2048,males,15–24,1981684
2048,males,25–34,2261980
2048,males,35–44,2353181
2048,males,45–54,2125315
2048,males,55–64,2012274
2048,males,5–14,1845339
2048,males,65–74,1619819
2048,males,75–84,1259286
2048,males,85+,634613
2049,females,0–4,865784
2049,females,15–24,1887016
2049,females,25–34,2182158
2049,females,35–44,2332384
2049,females,45–54,2153967
2049,females,55–64,2164664
2049,females,5–14,1766771
2049,females,65–74,1805926
2049,females,75–84,1475909
2049,females,85+,892710
2049,males,0–4,912633
2049,males,15–24,1988117
2049,males,25–34,2260879
2049,males,35–44,2374236
2049,males,45–54,2137058
2049,males,55–64,2028891
2049,males,5–14,1859508
2049,males,65–74,1649432
2049,males,75–84,1265980
2049,males,85+,648370
2050,females,0–4,867319
2050,females,15–24,1893890
2050,females,25–34,2183234
2050,females,35–44,2348521
2050,females,45–54,2160817
2050,females,55–64,2179664
2050,females,5–14,1779624
2050,females,65–74,1843379
2050,females,75–84,1483796
2050,females,85+,905896
2050,males,0–4,914255
2050,males,15–24,1995447
2050,males,25–34,2260507
2050,males,35–44,2389208
2050,males,45–54,2152078
2050,males,55–64,2045474
2050,males,5–14,1873070
2050,males,65–74,1683041
2050,males,75–84,1272899
2050,males,85+,658259
