subtype,sex,duration,year,prev_mid,prev_p025,prev_p975,pct_change
mantle_cell,persons,10,2040,3772.4947278438585,3101.6793950586625,4482.81350654998,123.5
mantle_cell,persons,10,2045,4042.893087171109,3199.017838076084,5045.3607590533065,139.5
nhl,females,10,2021,17089.60446431062,16916.49259858896,17243.002248969708,0
nhl,females,10,2030,23252.963096260915,22698.8867307449,23851.017863870984,36.1
nhl,females,10,2040,30289.955328505086,29134.963023385473,31547.392381956553,77.2
nhl,females,10,2045,32474.931972374656,31001.735433351245,34109.81680950512,90
nhl,males,10,2021,21666.40968249984,21458.875793049807,21875.4545934971,0
nhl,males,10,2030,28990.016733867727,28345.82836853392,29667.685123287414,33.8
nhl,males,10,2040,36442.63440063038,35264.67079582703,37741.155181022055,68.2
nhl,males,10,2045,38207.87565979264,36792.87513593096,39756.66676399777,76.3
nhl,persons,10,2021,38749.526589409674,38497.21934900783,39019.054083101655,0
nhl,persons,10,2030,52255.00372435862,51422.4231819512,53103.46415018167,34.9
nhl,persons,10,2040,66749.9795551002,65114.029189581546,68579.16112876915,72.3
nhl,persons,10,2045,70667.73366645456,68687.37987033451,72902.8848955933,82.4
total,females,10,2021,19803.008214124402,19631.407520091776,19968.56714724852,0
total,females,10,2030,26633.293078982075,26067.84464165437,27286.75659221525,34.5
total,females,10,2040,34249.195850582546,33090.511482040114,35562.76056618774,72.9
total,females,10,2045,36649.47290376207,35224.76366937836,38290.62660823927,85.1
total,males,10,2021,24941.519614451132,24717.25160118677,25151.618080213782,0
total,males,10,2030,33054.17160872418,32377.38771642059,33744.48640789541,32.5
total,males,10,2040,41458.18142460906,40232.26471174545,42860.87399429641,66.2
total,males,10,2045,43591.78313976251,42119.217450567994,45266.07723274169,74.8
total,persons,10,2021,44744.006529691316,44474.362022246656,45027.98883065495,0
total,persons,10,2030,59699.905647632884,58801.7923596301,60654.84662113156,33.4
total,persons,10,2040,75742.2164332751,74011.6669266034,77573.74705278454,69.3
total,persons,10,2045,80261.96684989275,78172.59682620295,82580.8383941539,79.4
dlbcl,females,40,2021,9927.58407869558,8313.29060165734,12033.073902051528,0
dlbcl,females,40,2030,13190.930798562451,11842.047284598813,14791.183974650414,32.9
dlbcl,females,40,2040,16845.28117909829,15260.00757022167,18604.015906890952,69.7
dlbcl,females,40,2045,18633.62480429453,16054.116579011756,21527.092426812953,87.7
dlbcl,males,40,2021,12177.987493427694,10466.826996122212,14562.214724441783,0
dlbcl,males,40,2030,16339.468292206599,14933.491426695342,18177.55727524179,34.2
dlbcl,males,40,2040,20406.955058087035,18779.213679548215,22354.06706379673,67.6
