effect,value,rr,rr_p025,rr_p975,subtype,sex,tier
cohort,1946.5,1.055293155221345,1.041892745576959,1.0692629910594775,nhl,males,agg
cohort,1947.5,1.064661093201603,1.0526535253401599,1.0765842277444089,nhl,males,agg
cohort,1948.5,1.0731198443543577,1.0625046772849405,1.0833765209403754,nhl,males,agg
cohort,1949.5,1.080743734599126,1.0712868225465872,1.0903167555096127,nhl,males,agg
cohort,1950.5,1.087264904634332,1.0779111886894825,1.0967684333205068,nhl,males,agg
cohort,1951.5,1.0923142931558787,1.0819741863163654,1.1021389759261087,nhl,males,agg
cohort,1952.5,1.095675627187347,1.0843151247642753,1.1070800018321938,nhl,males,agg
cohort,1953.5,1.0979384458923336,1.0853255140127047,1.1107918080106942,nhl,males,agg
cohort,1954.5,1.0986988386551573,1.0846674977744084,1.1127640003000607,nhl,males,agg
cohort,1955.5,1.098086633412371,1.0826761117589174,1.1135694085223262,nhl,males,agg
cohort,1956.5,1.096283653688137,1.0800103113762582,1.1131253861586206,nhl,males,agg
cohort,1957.5,1.093585407966307,1.0763470132630413,1.1116157593638134,nhl,males,agg
cohort,1958.5,1.0898645372455005,1.071899875130775,1.1084198066794755,nhl,males,agg
cohort,1959.5,1.0853239259325544,1.067147636976828,1.1051742930782993,nhl,males,agg
cohort,1960.5,1.0802412941079576,1.061274965094588,1.1001103989158256,nhl,males,agg
cohort,1961.5,1.0743656770016385,1.0546227941571495,1.0948909227281622,nhl,males,agg
cohort,1962.5,1.0680778642883462,1.0474985547822797,1.0896965956930242,nhl,males,agg
cohort,1963.5,1.0614245439224221,1.0400469634850789,1.0841195783241484,nhl,males,agg
cohort,1964.5,1.054373481384582,1.0323505251458864,1.078431431560316,nhl,males,agg
cohort,1965.5,1.0474631119838667,1.024455192045221,1.072650784370322,nhl,males,agg
cohort,1966.5,1.0402287372825336,1.0164538738645184,1.0668607464079451,nhl,males,agg
cohort,1967.5,1.0332085253097532,1.0086309724083926,1.060772970766394,nhl,males,agg
cohort,1968.5,1.025982004279907,1.0000773737156732,1.0560276705450533,nhl,males,agg
cohort,1969.5,1.0189639514597157,0.9921115266088364,1.051067725464905,nhl,males,agg
cohort,1970.5,1.012032826947753,0.9835214330373518,1.0456794781861127,nhl,males,agg
cohort,1971.5,1.005242293287333,0.9750410162055567,1.040994990385118,nhl,males,agg
cohort,1972.5,0.9984034284655288,0.9670476735621105,1.0353844895990314,nhl,males,agg
cohort,1973.5,0.9915226619147335,0.9590047355740376,1.0299622306129972,nhl,males,agg
cohort,1974.5,0.9846864141140383,0.9506018637412715,1.0254792606143872,nhl,males,agg
cohort,1975.5,0.978155006924196,0.942214314052443,1.0206242952800322,nhl,males,agg
cohort,1976.5,0.9718184065175959,0.9339096875738474,1.016077659843429,nhl,males,agg
cohort,1977.5,0.9650494791054909,0.9258542276552332,1.0104555053928361,nhl,males,agg
cohort,1978.5,0.9585115592598328,0.9177503646321725,1.0055989454349508,nhl,males,agg
cohort,1979.5,0.9519408212552596,0.9099114293892054,1.0008215872865243,nhl,males,agg
cohort,1980.5,0.9455222927598186,0.9018621791100838,0.9960645768134124,nhl,males,agg
cohort,1981.5,0.9390568472158749,0.8940653345207034,0.9914688450852287,nhl,males,agg
cohort,1982.5,0.9326416680946342,0.8862904445384546,0.9870897879078049,nhl,males,agg
cohort,1983.5,0.9262681127318841,0.8783912397741304,0.9827300723154994,nhl,males,agg
cohort,1984.5,0.92011091312169,0.8705654199582791,0.9783896128777773,nhl,males,agg
cohort,1985.5,0.9140042066697626,0.8627956652171519,0.9740683245414528,nhl,males,agg
cohort,1986.5,0.9078073361755576,0.8551148911198174,0.9697545410724095,nhl,males,agg
cohort,1987.5,0.9017075042836449,0.8479053592381026,0.9651721450251346,nhl,males,agg
cohort,1988.5,0.8956072460855222,0.8404879126021471,0.9602143933532173,nhl,males,agg
cohort,1989.5,0.8895610320068901,0.8333571113463822,0.9552772305166884,nhl,males,agg
cohort,1990.5,0.8835337094426027,0.826320360839257,0.9503654546650626,nhl,males,agg
cohort,1991.5,0.8773857134061172,0.819133785899129,0.94559655556589,nhl,males,agg
cohort,1992.5,0.8714017848796742,0.811987579952422,0.9411524278447201,nhl,males,agg
cohort,1993.5,0.8653689017886552,0.8049049670566876,0.9367291876786668,nhl,males,agg
cohort,1994.5,0.8594120834595467,0.7978945328469181,0.932625184577681,nhl,males,agg
cohort,1995.5,0.853528619509111,0.7911201414154724,0.9284404539311001,nhl,males,agg
cohort,1996.5,0.8476786616451837,0.7843093197104577,0.9239034720176275,nhl,males,agg
cohort,1997.5,0.8419060531459639,0.777338072207915,0.9193886682380626,nhl,males,agg
cohort,1998.5,0.8362675153637427,0.7704287883882378,0.9149658118076855,nhl,males,agg
cohort,1999.5,0.8306101434987688,0.7636640936235581,0.9106697227208176,nhl,males,agg
cohort,2000.5,0.8249940115334891,0.7572081761643088,0.9063926524857051,nhl,males,agg
cohort,2001.5,0.8194276132003614,0.7508090255766746,0.9021356701648657,nhl,males,agg
cohort,2002.5,0.8138549852625476,0.7444639555746667,0.8978986814116809,nhl,males,agg
cohort,2003.5,0.8082710443092135,0.7381725090986755,0.8936815923226528,nhl,males,agg
cohort,2004.5,0.8027254173382617,0.7317601650261967,0.8895943244414709,nhl,males,agg
cohort,2005.5,0.7972814357599177,0.7252959434368582,0.8856081948072292,nhl,males,agg
cohort,2006.5,0.7919838458197181,0.7188888256833295,0.8816399283357775,nhl,males,agg
cohort,2007.5,0.7867483653722018,0.7125383073182125,0.8776894449670721,nhl,males,agg
cohort,2008.5,0.781498240806932,0.7062438883503455,0.873756664999931,nhl,males,agg
cohort,2009.5,0.7763810053367972,0.7000050732054338,0.8696151585406012,nhl,males,agg
cohort,2010.5,0.771153714594606,0.6938213706870338,0.865424488014445,nhl,males,agg
cohort,2011.5,0.7659371989239748,0.6876944649868463,0.8612540123522183,nhl,males,agg
age,9.5,0.5563982850890429,0.5047902933434139,0.6115984262017263,nhl,females,agg
age,19.5,1.2369534601572023,1.1438448012315898,1.3355863825489631,nhl,females,agg
age,29.5,2.748371934860451,2.596281843667352,2.91089703256206,nhl,females,agg
age,39.5,6.113839944895358,5.877754172074139,6.338540558911007,nhl,females,agg
age,49.5,13.583527221970904,13.25905024335552,13.915632702424437,nhl,females,agg
age,59.5,29.29458738795755,28.820567588904517,29.863284019104377,nhl,females,agg
age,69.5,55.79783658549185,54.824745972432034,56.86501774281375,nhl,females,agg
age,79.5,91.5587563030674,89.50322519031005,93.58719031605193,nhl,females,agg
age,90,100.15247186259982,96.66710381680099,103.79696714858137,nhl,females,agg
period,1990,0.9532480360577333,0.9328666195024642,0.9754792137127599,nhl,females,agg
period,1991,0.9624355041374469,0.945557354231696,0.9807235100607641,nhl,females,agg
period,1992,0.9719387606391592,0.9583575092654055,0.986207034035457,nhl,females,agg
period,1993,0.9812765121205702,0.9710250467717335,0.9926182408650022,nhl,females,agg
period,1994,0.9907210946055671,0.9832870547983973,0.9988228349803079,nhl,females,agg
period,1995,1.0004602257774948,0.9949402448756883,1.0063136973098386,nhl,females,agg
period,1996,1.010126884457516,1.004027552140631,1.016451273705787,nhl,females,agg
period,1997,1.0191060616983365,1.0107303109283365,1.027711493085805,nhl,females,agg
period,1998,1.027039213979771,1.015230597615156,1.0388695516655337,nhl,females,agg
period,1999,1.0334325687047805,1.0191101743329716,1.047518750154592,nhl,females,agg
period,2000,1.0374455749450315,1.021385448311275,1.0529906906361781,nhl,females,agg
period,2001,1.0383098445563714,1.0218542356296239,1.0546154760353266,nhl,females,agg
period,2002,1.0357469168523403,1.0192958104464338,1.051598772730486,nhl,females,agg
period,2003,1.0293245702733125,1.013866523365859,1.0431450155792998,nhl,females,agg
period,2004,1.0198741219494671,1.0060821675631033,1.0328046665081025,nhl,females,agg
period,2005,1.0092426811578317,0.9956730103351227,1.0229556385527079,nhl,females,agg
period,2006,0.9983476637101176,0.983894773630354,1.0127410542982047,nhl,females,agg
period,2007,0.9883001078752873,0.9728323412593547,1.0045688214340136,nhl,females,agg
period,2008,0.9807499460314474,0.9643766321147351,0.9977826222781288,nhl,females,agg
period,2009,0.9767424974096635,0.9599005340890503,0.9931776332042732,nhl,females,agg
period,2010,0.976901321893904,0.9619783145820706,0.9912581208562946,nhl,females,agg
period,2011,0.9804798967027057,0.9682577146097778,0.9924993647126793,nhl,females,agg
period,2012,0.9858575116394968,0.974661100128965,0.9974889242527634,nhl,females,agg
period,2013,0.9926182035494291,0.980320851915768,1.0058505811410192,nhl,females,agg
period,2014,0.9987993724290942,0.9841571700026198,1.0131662198945464,nhl,females,agg
period,2015,1.003144774683767,0.987388174345227,1.0182718966144908,nhl,females,agg
period,2016,1.004994976201126,0.9907268795304582,1.0182065585581388,nhl,females,agg
period,2017,1.0046974595835776,0.9940223059761655,1.014772751626971,nhl,females,agg
period,2018,1.00274202263363,0.9947254521562889,1.0112910081118878,nhl,females,agg
period,2019,1.0001889643272048,0.9894713567296866,1.0109880542408465,nhl,females,agg
period,2020,0.9976279924898703,0.9811997365159992,1.0136714747577118,nhl,females,agg
period,2021,0.9950584993917702,0.9720502244323002,1.0177142178113256,nhl,females,agg
cohort,1900,0.693141846986131,0.6533169741615674,0.736387794964623,nhl,females,agg
cohort,1901,0.700338190268849,0.6617063624816877,0.7419208553887604,nhl,females,agg
