sex,year,mean_age,median_age,share_55plus,share_65plus,period
males,1996,40.611111111111114,39.5,25.77777777777778,17.77777777777778,Observed
males,1997,39.02415458937198,29.5,22.705314009661837,14.009661835748794,Observed
males,1998,38.81336405529954,29.5,22.119815668202765,16.129032258064516,Observed
males,1999,39.80252100840336,39.5,23.10924369747899,16.80672268907563,Observed
males,2000,38.9936170212766,39.5,22.97872340425532,13.617021276595745,Observed
males,2001,38.73991031390135,39.5,25.112107623318387,12.10762331838565,Observed
males,2002,42.964285714285715,39.5,33.83458646616541,19.924812030075188,Observed
males,2003,40.5,39.5,27.490039840637447,19.12350597609562,Observed
males,2004,41.73076923076923,39.5,28.74493927125506,21.45748987854251,Observed
males,2005,40.63380281690141,39.5,25.704225352112676,16.901408450704224,Observed
males,2006,40.485611510791365,39.5,28.776978417266186,17.62589928057554,Observed
males,2007,41.36426116838488,39.5,26.46048109965636,15.120274914089347,Observed
males,2008,44.265573770491805,39.5,33.77049180327869,20,Observed
males,2009,40.41891891891892,39.5,27.7027027027027,15.878378378378377,Observed
males,2010,44.82874617737003,39.5,33.63914373088685,21.100917431192663,Observed
males,2011,43.00588235294118,39.5,31.470588235294116,20,Observed
males,2012,43.9305912596401,39.5,33.67609254498715,23.13624678663239,Observed
males,2013,44.145161290322584,39.5,36.950146627565985,21.994134897360702,Observed
males,2014,42.82011331444759,39.5,28.89518413597734,19.8300283286119,Observed
males,2015,43.980670103092784,39.5,34.5360824742268,22.422680412371136,Observed
males,2016,46.26495726495727,49.5,37.03703703703704,25.356125356125357,Observed
males,2017,45.62747524752475,39.5,36.633663366336634,26.48514851485149,Observed
males,2018,46.03756476683938,39.5,37.56476683937824,23.57512953367876,Observed
males,2019,45.15384615384615,39.5,36.41025641025641,23.076923076923077,Observed
males,2020,46.09977064220183,49.5,38.30275229357798,25.458715596330272,Observed
males,2021,46.25598086124402,49.5,39.952153110047846,22.727272727272727,Observed
males,2022,46.72501006317758,49.5,38.942780459369516,25.45019257478136,Projected
males,2023,47.013518077441674,49.5,39.4356228669065,25.978417152673266,Projected
males,2024,47.345947966318704,49.5,40.02658523713605,26.56459525555206,Projected
males,2025,47.697777859626875,49.5,40.641760959261696,27.17483959021372,Projected
males,2026,48.06135023008869,49.5,41.3458503122863,27.816432455168812,Projected
males,2027,48.41648682238708,49.5,42.02207172904039,28.445296206119096,Projected
males,2028,48.76686445609095,49.5,42.651838862076964,29.060101970730575,Projected
males,2029,49.11222415271312,49.5,43.24080328680353,29.64883545172422,Projected
males,2030,49.447250096183836,49.5,43.79691517559383,30.181178728136544,Projected
males,2031,49.779253963080556,49.5,44.33987105337869,30.67933247944563,Projected
males,2032,50.19206986895092,49.5,44.985095625605865,31.25423184160389,Projected
males,2033,50.57893309048952,49.5,45.59387105157952,31.8139721517183,Projected
males,2034,50.9474084293263,49.5,46.197848198101184,32.377693505016296,Projected
males,2035,51.31791535714045,49.5,46.82355940598851,32.951630845496794,Projected
males,2036,51.689538342818885,49.5,47.503518492725306,33.578197265210825,Projected
males,2037,52.03680113088414,49.5,48.18728185000289,34.17246114903451,Projected
males,2038,52.37422229491477,49.5,48.89510754285579,34.706740884687385,Projected
males,2039,52.69158760789952,49.5,49.57893873756359,35.18791002567232,Projected
males,2040,52.995139592360715,59.5,50.24628762260359,35.63390162715068,Projected
males,2041,53.28413743268365,59.5,50.8909239910255,36.060316810855596,Projected
males,2042,53.629545725449475,59.5,51.65471454916947,36.5701196808803,Projected
males,2043,53.96838485541574,59.5,52.40439789515181,37.085874523607224,Projected
males,2044,54.31366248379603,59.5,53.159472319802546,37.63620498754586,Projected
males,2045,54.648641483486145,59.5,53.8802629325197,38.185577945965456,Projected
