P,cases_mid,cases_p025,cases_p975,asr_mid,asr_p025,asr_p975,subtype,sex,tier,cases_2021,asr_2021,pct_change_cases,pct_change_asr
2045,1009.0821318598232,904.8910425546992,1133.8805176691656,4.0882789096235115,3.6454498862738127,4.6441912279902215,follicular,males,subtype,756,5.108766510832072,33.47647246823058,-19.975224920630637
2030,712.9268935520636,666.9816392563055,763.985158889703,3.406163370294112,3.1834600397628465,3.648814044701096,follicular,females,subtype,600,3.7099462524714064,18.821148925343927,-8.18833647454939
2040,710.86353232535,645.121915722935,785.4655757235421,2.737565417060437,2.4759977151004273,3.032510978403778,follicular,females,subtype,600,3.7099462524714064,18.47725538755833,-26.210105733020022
2045,674.4006646400345,602.3315424748372,755.9079367205871,2.388942537575559,2.1276611453547547,2.698212769762884,follicular,females,subtype,600,3.7099462524714064,12.400110773339085,-35.60708498177977
2030,313.258559055873,276.31042320445437,356.18066795704766,1.5616033084466934,1.371499666677216,1.7828807041845518,mantle_cell,males,subtype,189,1.2487764050087633,65.74526934173174,25.050673778204096
2040,386.5140950179248,315.6538861799746,478.27993602639987,1.5326356327473891,1.2440284816792662,1.9456003435502534,mantle_cell,males,subtype,189,1.2487764050087633,104.50481217879617,22.73098903855681
2045,400.9813597558365,315.72030684475106,526.5211708648707,1.460251183702724,1.1310299729861257,1.939487135780659,mantle_cell,males,subtype,189,1.2487764050087633,112.1594496062627,16.934559128900002
2030,127.31099115654916,102.05737523862219,159.72159416547925,0.5646169399349186,0.4493643090759603,0.7168550785606571,mantle_cell,females,subtype,75,0.42413930648602344,69.74798820873221,33.120635437622255
2040,180.65218504074699,128.14739964797667,259.4741183625145,0.6328448399259315,0.4310070737606711,0.9548783876162686,mantle_cell,females,subtype,75,0.42413930648602344,140.86958005432933,49.20683611453624
2045,200.15855148854376,129.6071297014434,317.9264804936118,0.6474323227490479,0.39963897809768145,1.0736965463587633,mantle_cell,females,subtype,75,0.42413930648602344,166.8780686513917,52.64615017952424
2030,5039.72282353021,4947.669742392346,5138.804375780147,27.107690541273286,26.603316550739223,27.64872021262745,total,males,total,3783,25.78646246773663,33.22027024927861,5.123727518614632
2040,6030.292292863492,5876.833728906129,6200.465077047306,26.67529182536239,25.96028289416713,27.457105427071653,total,males,total,3783,25.78646246773663,59.40503021050731,3.446883645780573
2045,6330.028265045787,6144.091866222133,6540.001189533541,26.155971829245118,25.363950273772385,27.116517015055052,total,males,total,3783,25.78646246773663,67.32826500253204,1.4329587161124124
2030,3816.6563030059206,3732.290341330816,3905.779558133765,18.832458519712993,18.395173217177494,19.304899812252863,total,females,total,2952,18.418902455130475,29.290525169577254,2.2452807141465976
