tier,subtype,sex,n_a,n_p,n_c,tot_knots,cases_mape,pe_2021,n_coef,dev_df_full,aic_full
agg,hodgkin,males,6,7,5,18,4.922979765322472,2.0717564598536606,14,2.134025533229119,2063.2890996367123
agg,hodgkin,females,6,7,5,18,8.313974387459803,0.5259644050137233,14,2.6229529025330556,2131.874508242893
subtype,dlbcl,males,6,7,5,18,2.506941924804346,3.957437512141615,13,1.961396885985754,1322.150273047739
subtype,dlbcl,females,6,7,5,18,8.762388384608665,10.537300689019329,14,1.167834107320236,1137.1165352609241
subtype,follicular,males,6,7,5,18,4.5585729266086625,-1.8592975029805596,14,1.2740313204725076,1088.4252854649267
subtype,follicular,females,6,7,5,18,12.279744663141775,-8.02111794246006,13,1.8756082791910864,1132.388171113759
subtype,mantle_cell,males,6,7,5,18,10.135233993387228,44.06974190828192,13,0.7909372581778082,713.874309547357
subtype,mantle_cell,females,6,7,5,18,50.883832312315114,91.72969009932869,14,0.8480778188517097,594.8869193576236
agg,nhl,males,7,7,5,19,1.8627687403724915,4.132634339546491,14,2.3901717278958134,2647.9003554137666
agg,nhl,females,7,7,5,19,2.1138962993241996,1.1502556460277007,14,1.2224033962103624,2226.2495293151374
agg,hodgkin,males,7,7,5,19,4.9229672821049295,2.0721262279533548,15,2.014646064137618,2030.5644790415038
agg,hodgkin,females,7,7,5,19,8.313974387459803,0.5259644050137233,14,2.8005648106881007,2180.5401710773745
subtype,dlbcl,males,7,7,5,19,2.4734860934709912,3.913537078571385,14,1.4531615460722607,1242.3959277953347
subtype,dlbcl,females,7,7,5,19,8.762388384608665,10.537300689019329,14,1.1638813553791523,1136.4959532061735
subtype,follicular,males,7,7,5,19,4.5585729266086625,-1.8592975029805596,14,1.2740313204725076,1088.4252854649267
subtype,follicular,females,7,7,5,19,12.279744663141775,-8.02111794246006,14,1.411066764133275,1059.5795449704906
subtype,mantle_cell,males,7,7,5,19,10.135233993387228,44.06974190828192,14,0.7719967441774639,712.1097115911255
subtype,mantle_cell,females,7,7,5,19,50.883832312315114,91.72969009932869,14,0.8480778188517097,594.8869193576236
agg,nhl,males,4,4,6,14,2.810451913070179,2.962641532835577,11,2.626497149348247,2714.53301233978
agg,nhl,females,4,4,6,14,1.9133279587119603,1.045942395907223,11,1.9860664654806752,2435.451409691646
agg,hodgkin,males,4,4,6,14,4.549956089025203,-0.31882322801065677,11,2.3998748696198438,2137.331442416632
agg,hodgkin,females,4,4,6,14,6.308799462813461,-4.566649375050216,11,2.816442601506256,2187.3400135660695
subtype,dlbcl,males,4,4,6,14,2.5102306984512217,3.9549696248363437,11,1.9326158466717238,1317.4681005294656
subtype,dlbcl,females,4,4,6,14,6.0698936304156685,4.329886335117164,10,1.9496143275270725,1259.6544871435055
subtype,follicular,males,4,4,6,14,5.121405407764463,-1.4412837123048785,11,1.418484266784422,1109.3598508362502
subtype,follicular,females,4,4,6,14,9.278143561392602,-6.075187296173662,11,1.6961519487616534,1103.426374803431
subtype,mantle_cell,males,4,4,6,14,11.498334377531036,44.88467861501328,10,0.8610938138893611,721.5423267914508
subtype,mantle_cell,females,4,4,6,14,22.422718591957747,61.94587936753302,11,0.8756688722306392,595.8457213548076
agg,nhl,males,5,4,6,15,2.810451913070179,2.962641532835577,11,2.5045650523748106,2680.757821478137
agg,nhl,females,5,4,6,15,1.9158430805777609,1.0532004419824033,12,1.2339419545480383,2227.8789782087574
agg,hodgkin,males,5,4,6,15,4.56380763149701,0.3589838771711918,12,2.008600965251623,2028.9399699413814
agg,hodgkin,females,5,4,6,15,6.168251721319084,-5.310823162477602,11,3.329059646405474,2329.3349350031526
subtype,dlbcl,males,5,4,6,15,2.6251608574976,4.519984758259963,11,1.9326158466717238,1317.4681005294656
subtype,dlbcl,females,5,4,6,15,8.433274015197664,9.303439469276425,12,1.1707514571267734,1135.9160620948044
subtype,follicular,males,5,4,6,15,4.652905841744982,-1.1319654584772023,11,1.418484266784422,1109.3598508362502
subtype,follicular,females,5,4,6,15,9.411966726401682,-6.032583081434552,11,1.6961519487616534,1103.426374803431
subtype,mantle_cell,males,5,4,6,15,11.321397163539014,44.5143050535554,11,0.8134901143200516,715.0646410464713
subtype,mantle_cell,females,5,4,6,15,27.09634358810052,72.24520850741052,11,0.8756688722306392,595.8457213548076
agg,nhl,males,6,4,6,16,2.774766042170969,3.054473797355954,11,2.5045650523748106,2680.757821478137
agg,nhl,females,6,4,6,16,1.9635178529511046,1.408041600877059,12,1.2553433781907537,2233.7857711341476
agg,hodgkin,males,6,4,6,16,4.586349888564958,0.47591583313847324,12,2.1093031910630686,2056.7337842653387
agg,hodgkin,females,6,4,6,16,6.776206421059704,-2.0040459476792742,12,2.6023287302394094,2127.4281424949136
subtype,dlbcl,males,6,4,6,16,2.6251608574976,4.519984758259963,11,1.930439158303577,1317.1198303905614
subtype,dlbcl,females,6,4,6,16,9.082817601859887,10.370466534522059,12,1.1707514571267734,1135.9160620948044
subtype,follicular,males,6,4,6,16,4.652905841744982,-1.1319654584772023,12,1.2655777538809563,1085.6292310178146
subtype,follicular,females,6,4,6,16,8.338795934751404,-4.100166600416685,11,1.6961519487616534,1103.426374803431
subtype,mantle_cell,males,6,4,6,16,11.321397163539014,44.5143050535554,11,0.8134901143200516,715.0646410464713
subtype,mantle_cell,females,6,4,6,16,27.09634358810052,72.24520850741052,12,0.8533451271427476,593.4205770136018
agg,nhl,males,7,4,6,17,2.774766042170969,3.054473797355954,12,2.392476420489438,2649.3167940253975
agg,nhl,females,7,4,6,17,1.964424130733229,1.3509586505854723,12,1.2553433781907537,2233.7857711341476
agg,hodgkin,males,7,4,6,17,4.588651623640342,0.4824886384447542,13,1.9980860633494761,2026.0397709530394
agg,hodgkin,females,7,4,6,17,6.776206421059704,-2.0040459476792742,12,2.780333543545393,2176.557470967365
subtype,dlbcl,males,7,4,6,17,2.3625793802223476,3.8118928063593627,12,1.4386528480555107,1238.9953679028154
subtype,dlbcl,females,7,4,6,17,9.082817601859887,10.370466534522059,12,1.1629723830804553,1134.6791893214393
subtype,follicular,males,7,4,6,17,4.652905841744982,-1.1319654584772023,12,1.2655777538809563,1085.6292310178146
subtype,follicular,females,7,4,6,17,8.338795934751404,-4.100166600416685,12,1.3690210574899757,1051.7164111424731
subtype,mantle_cell,males,7,4,6,17,11.321397163539014,44.5143050535554,12,0.7989330393444593,713.9365760110321
subtype,mantle_cell,females,7,4,6,17,27.09634358810052,72.24520850741052,12,0.8533451271427476,593.4205770136018
agg,nhl,males,4,5,6,15,2.296640108218621,3.5001932439531314,12,2.617918430350231,2711.538788746976
agg,nhl,females,4,5,6,15,2.0694492869552885,0.8106276576076281,12,1.9511112939992288,2425.8177158972867
agg,hodgkin,males,4,5,6,15,4.6216446728146146,0.09857403542757026,12,2.406624540142654,2138.794476611305
agg,hodgkin,females,4,5,6,15,6.2692199320523985,-4.676444899008231,12,2.8228226347155005,2188.284460130313
subtype,dlbcl,males,4,5,6,15,2.593813166843242,4.292098212416389,12,1.9418447496902906,1319.002880262746
subtype,dlbcl,females,4,5,6,15,5.012627540188618,3.608049994311054,11,1.9556405166004542,1260.66906306772
subtype,follicular,males,4,5,6,15,4.818411312995536,-2.1814006983319474,12,1.4224419971150444,1110.5706456920345
subtype,follicular,females,4,5,6,15,11.034793650769599,-7.404238378421041,12,1.6939371349995054,1103.3780674664886
subtype,mantle_cell,males,4,5,6,15,11.379959361813725,44.71367635862889,11,0.8289476663648525,717.5378493736398
subtype,mantle_cell,females,4,5,6,15,22.997716559117215,64.18512916736705,12,0.8759875508414423,597.0207223816944
agg,nhl,males,5,5,6,16,2.296640108218621,3.5001932439531314,12,2.495017786196427,2677.618210960525
agg,nhl,females,5,5,6,16,2.073472310817558,0.8176914361397516,13,1.1942558297684858,2217.7313519398344
agg,hodgkin,males,5,5,6,16,4.697160910098825,0.7705426516421954,13,2.0141479185739986,2030.456781139781
agg,hodgkin,females,5,5,6,16,6.130473467562807,-5.415845531331908,12,3.337124071360456,2330.231656644322
subtype,dlbcl,males,5,5,6,16,2.7679500074004224,4.857417601287875,12,1.9418447496902906,1319.002880262746
subtype,dlbcl,females,5,5,6,16,7.1526595631946215,8.56862141773496,13,1.1721301875001409,1136.9631500366695
subtype,follicular,males,5,5,6,16,4.419372382488727,-1.8696686203144457,12,1.4224419971150444,1110.5706456920345
subtype,follicular,females,5,5,6,16,11.16408702133968,-7.362479658813167,12,1.6939371349995054,1103.3780674664886
subtype,mantle_cell,males,5,5,6,16,11.204975485560501,44.34623936259382,12,0.782652947656298,711.3480414326144
subtype,mantle_cell,females,5,5,6,16,30.121723842604958,73.50937831499823,12,0.8759875508414423,597.0207223816944
agg,nhl,males,6,5,6,17,2.260255050606673,3.5926636533153844,12,2.495017786196427,2677.618210960525
agg,nhl,females,6,5,6,17,2.108778813920289,1.164858619995638,13,1.2162561427674434,2223.7814380145487
agg,hodgkin,males,6,5,6,17,4.719759329804085,0.8876258756180984,13,2.115150284089089,2058.232431656434
agg,hodgkin,females,6,5,6,17,6.7395159971922345,-2.1077193444057545,13,2.6078019526071117,2128.3309499157913
subtype,dlbcl,males,6,5,6,17,2.7679500074004224,4.857417601287875,12,1.9397755702649595,1318.6738807341176
subtype,dlbcl,females,6,5,6,17,7.7327709807153475,9.632304792018264,13,1.1721301875001409,1136.9631500366695
subtype,follicular,males,6,5,6,17,4.419372382488727,-1.8696686203144457,13,1.2671696652341908,1086.6151752577448
subtype,follicular,females,6,5,6,17,10.096317793559141,-5.4377894524225585,12,1.6939371349995054,1103.3780674664886
subtype,mantle_cell,males,6,5,6,17,11.204975485560501,44.34623936259382,12,0.782652947656298,711.3480414326144
subtype,mantle_cell,females,6,5,6,17,30.121723842604958,73.50937831499823,13,0.8536458906143376,594.6147525149702
agg,nhl,males,7,5,6,18,2.260255050606673,3.5926636533153844,13,2.3814806070267625,2645.900468902671
agg,nhl,females,7,5,6,18,2.11711449977695,1.1081913897599205,13,1.2162561427674434,2223.7814380145487
agg,hodgkin,males,7,5,6,18,4.72208872510588,0.8942674740261395,14,2.0036046861789063,2027.5537875449536
agg,hodgkin,females,7,5,6,18,6.7395159971922345,-2.1077193444057545,13,2.7862641569181545,2177.4080561013275
subtype,dlbcl,males,7,5,6,18,2.446331042731453,4.1520170769638165,13,1.4443456685366427,1240.4561806907793
subtype,dlbcl,females,7,5,6,18,7.7327709807153475,9.632304792018264,13,1.1643686232088817,1135.7368228786506
subtype,follicular,males,7,5,6,18,4.419372382488727,-1.8696686203144457,13,1.2671696652341908,1086.6151752577448
