year,sex,p005,p025,p100,p250,p500,p750,p900,p975,p995
2012,females,2205.1755926459127,2208.476698795666,2212.706838779416,2215.9675874940604,2219.8310028435385,2223.543234341929,2226.633901143771,2230.9896482798026,2235.0936963559225
2013,females,2244.5601442430157,2248.073221635622,2251.9786207947004,2255.279406589341,2259.058730272858,2262.999261791667,2266.1476125280064,2269.965357012191,2273.4519800536727
2014,females,2300.5222701898506,2304.308560235453,2307.830964027307,2311.62525772725,2315.1304017147672,2318.820124445723,2321.728935818619,2325.3313826636822,2328.9956443802316
2015,females,2326.6812415408367,2330.237739414602,2333.8676919199943,2337.7947307833715,2341.2597860388596,2344.7387476878225,2347.807215444327,2351.0116146760115,2354.4938766234905
2016,females,2452.659930307291,2454.8336613365523,2459.335122394391,2463.4809782325365,2466.7410906013138,2470.454533537513,2473.8424490044818,2477.5977759281577,2480.2645506905046
2017,females,2568.2512248567214,2570.753526419233,2574.1652618479857,2578.1033959392516,2581.308329133649,2585.0704654382557,2588.172271977776,2591.6395995974317,2594.7917981912633
2018,females,2624.904048692552,2628.2950792489028,2631.770196505403,2635.482462399793,2639.243021147106,2642.9961499024066,2646.291425201804,2650.0004853920063,2653.362291983876
2019,females,2658.884882227543,2661.281452536358,2664.443258591901,2667.8167440271004,2671.3690599746187,2675.446275956736,2678.7011161193373,2683.093603965787,2685.811842515853
2020,females,2822.0716170280884,2826.397016165489,2830.575880692615,2834.331057538535,2838.2843676892194,2842.246323240836,2845.571798094844,2849.3868353882854,2853.308090633111
2021,females,2855.9213955074556,2860.367499388909,2864.2161499383315,2867.6704119695514,2871.514515085844,2875.6346172214608,2878.893198219238,2882.6020547240782,2885.9064084600263
2022,females,2840.8341925871405,2850.834213857902,2862.506470577586,2874.8308982458348,2887.950305740015,2902.3932937562604,2913.046277353902,2927.6780077724443,2940.0565263532476
2023,females,2876.2882439489817,2893.6152474960827,2918.308575954262,2941.9675882995407,2968.2550379529466,2996.396689222457,3016.7339582515674,3041.4325139046396,3071.955407307122
2024,females,2910.7671334885927,2938.1804399972007,2971.934896911215,3008.741084422256,3048.408783090179,3088.412101104471,3120.129144116232,3154.900643675731,3205.3856251663155
2025,females,2859.1258675331696,2893.837440180533,2939.108850311113,2987.7144709671825,3039.68126378926,3091.445385174846,3135.0166583960345,3179.670265409022,3247.6527743762836
2026,females,2897.2917010799283,2940.02978990854,2994.4001917373753,3056.2644479095325,3120.2025933336645,3184.198623115261,3241.0513109863755,3291.2571714616547,3376.436993783138
2027,females,2948.4677393020197,2993.8532829556275,3052.770046592188,3114.0851370122114,3179.7698496694134,3246.4112408090514,3307.2846213569496,3355.9018960825097,3444.491950291861
2028,females,2994.5449552726304,3037.7565431224048,3101.928158300816,3168.1683002330383,3235.680668079426,3302.41450667183,3367.1985287505745,3420.425761308474,3512.142837773305
2029,females,3034.4810495034467,3078.1563387215565,3147.7985941562274,3213.45159622781,3286.046421520489,3353.5337908143174,3421.0328636184577,3483.100542935589,3575.993272246544
2030,females,3066.672613191652,3110.0781402611024,3185.8773765616625,3255.6796680980806,3330.5594821021505,3401.936224892257,3473.245247664895,3539.60528229493,3629.7725670243735
2031,females,3091.0737976214805,3136.714665702042,3215.4651708707884,3290.8239442990944,3366.9086885912893,3439.546312500224,3516.8510254937246,3589.639332837064,3672.1299962632925
2032,females,3108.2302755156757,3161.230953509846,3241.0802776848673,3318.826429820462,3396.2731147916047,3472.127090529475,3552.461434711479,3627.714854603285,3710.690966435695
2033,females,3115.351868578867,3177.7713404748347,3257.100921085862,3338.0872785234033,3418.437149621791,3499.128346876951,3585.249595431209,3664.0350810567256,3749.611617231876
2034,females,3117.7244858786416,3186.09895414036,3270.385414858197,3351.817317202199,3437.214676848981,3520.6723664482292,3612.1833193739462,3695.879189976608,3791.111706460995
2035,females,3118.435662728099,3184.502455594618,3273.5265965939884,3359.538887016879,3448.0533265548156,3537.009224351178,3629.6865102744323,3718.6002678626337,3827.0651607028162
2036,females,3109.7715331620293,3180.925016227607,3270.3717030856337,3359.271712836031,3454.127709760068,3544.8899358249832,3638.8011858544455,3735.5244363282727,3847.8083704631717
2037,females,3092.977707850087,3172.1832558181163,3262.8162760524924,3356.013888714492,3452.9321294329548,3549.5791849425746,3641.1736308091868,3748.4468462112145,3860.368631601012
2038,females,3073.602242383796,3153.9422107917158,3248.7821932791057,3347.1230636689065,3446.560847730756,3548.816354794928,3644.8408743454993,3756.207760740321,3879.558669085348
2039,females,3048.052885690088,3129.2798739501377,3231.14179687709,3331.7404544562733,3437.112376843813,3543.1289188293968,3639.6616268914354,3755.2393563510072,3883.9471863864505
2040,females,3017.0007113843935,3100.291724132739,3207.061503587302,3311.5620513183203,3417.156100595393,3527.9657802353186,3627.7161747450646,3751.4306314664204,3882.393266838212
2041,females,2978.283149157749,3062.0433655375164,3175.299355891191,3283.3379784445924,3389.977541229202,3504.0022448652203,3606.771390589463,3739.0738088604185,3871.163222827089
2042,females,2935.3987429757904,3020.2361519305496,3139.2556479888494,3249.7876792953202,3359.6473712519146,3477.8141790397153,3584.8756163434455,3720.486066427704,3848.8064594915395
2043,females,2890.1381427607153,2980.3181309998736,3100.798148050264,3214.6384190792737,3325.337670523424,3447.552468004177,3557.0946662239644,3698.444356381178,3823.7549361996253
2044,females,2843.8133515531486,2938.9397612896073,3060.1394386089414,3176.349364133582,3286.8208511282514,3413.8946240228784,3528.1393824963784,3668.4637210863298,3798.999651195306
2045,females,2797.264496034849,2889.366059182456,3019.458148098757,3136.2052130983757,3247.7101924169483,3380.112108189247,3493.9876027380215,3639.5449532892576,3765.702163043557
