sex,age_group,years_since_dx,subtype,annual_rate,source
males,65–74,5,nhl,0.007899999999999996,age-specific
males,75–84,1,dlbcl,0.006299999999999995,age-specific
males,75–84,2,dlbcl,0.007499999999999995,age-specific
males,75–84,3,dlbcl,0.0081000000000000065,age-specific
males,75–84,4,dlbcl,0.0064,age-specific
males,75–84,5,dlbcl,0.0060999999999999995,age-specific
males,75–84,1,follicular,0.004800000000000004,age-specific
males,75–84,2,follicular,0.007099999999999995,age-specific
males,75–84,3,follicular,0.0071000000000000065,age-specific
males,75–84,4,follicular,0.009799999999999998,age-specific
males,75–84,5,follicular,0.010199999999999997,age-specific
males,75–84,1,mantle_cell,0.004500000000000004,age-specific
males,75–84,2,mantle_cell,0.01429999999999999,age-specific
males,75–84,3,mantle_cell,0.014899999999999997,age-specific
males,75–84,4,mantle_cell,0.015000000000000003,age-specific
males,75–84,5,mantle_cell,0.015500000000000003,age-specific
males,75–84,1,hodgkin,0.004900000000000004,age-specific
males,75–84,2,hodgkin,0.005300000000000004,age-specific
males,75–84,3,hodgkin,0.009700000000000004,age-specific
males,75–84,4,hodgkin,0.014199999999999996,age-specific
males,75–84,5,hodgkin,0.0173,age-specific
males,75–84,1,nhl,0.007500000000000007,age-specific
males,75–84,2,nhl,0.009700000000000009,age-specific
males,75–84,3,nhl,0.010199999999999997,age-specific
males,75–84,4,nhl,0.009800000000000003,age-specific
males,75–84,5,nhl,0.010099999999999998,age-specific
males,85+,1,dlbcl,0.005399999999999999,age-specific
males,85+,2,dlbcl,0.008099999999999996,age-specific
males,85+,3,dlbcl,0.0055999999999999965,age-specific
males,85+,4,dlbcl,0.004000000000000001,age-specific
males,85+,5,dlbcl,0.004999999999999999,age-specific
males,85+,1,follicular,0.011699999999999999,age-specific
males,85+,2,follicular,0.006799999999999995,age-specific
males,85+,3,follicular,0.0028999999999999916,age-specific
males,85+,4,follicular,6.000000000000005e-4,age-specific
males,85+,5,follicular,0.004500000000000004,age-specific
males,85+,1,mantle_cell,0.0016750000000000042,fallback (no data)
males,85+,2,mantle_cell,0.0065749999999999975,fallback (no data)
males,85+,3,mantle_cell,0.007824999999999997,fallback (no data)
males,85+,4,mantle_cell,0.010150000000000003,fallback (no data)
males,85+,5,mantle_cell,0.012775000000000003,fallback (no data)
males,85+,1,hodgkin,0.001662499999999996,fallback (filled cell)
males,85+,2,hodgkin,0.001999999999999995,fallback (filled cell)
males,85+,3,hodgkin,0.002700000000000002,fallback (filled cell)
males,85+,4,hodgkin,0.003762500000000004,fallback (filled cell)
males,85+,5,hodgkin,0.004300000000000004,fallback (filled cell)
males,85+,1,nhl,0.010200000000000004,age-specific
males,85+,2,nhl,0.008400000000000001,age-specific
males,85+,3,nhl,0.0058,age-specific
males,85+,4,nhl,0.006000000000000003,age-specific
males,85+,5,nhl,0.005000000000000002,age-specific
females,5–14,1,dlbcl,0.0032833333333333325,fallback (filled cell)
females,5–14,2,dlbcl,0.004883333333333332,fallback (filled cell)
females,5–14,3,dlbcl,0.0038833333333333324,fallback (filled cell)
females,5–14,4,dlbcl,0.004366666666666663,fallback (filled cell)
females,5–14,5,dlbcl,0.004566666666666666,fallback (filled cell)
females,5–14,1,follicular,0.0026857142857142848,fallback (filled cell)
females,5–14,2,follicular,0.0029000000000000024,fallback (filled cell)
females,5–14,3,follicular,0.003585714285714284,fallback (filled cell)
females,5–14,4,follicular,0.005514285714285718,fallback (filled cell)
females,5–14,5,follicular,0.006571428571428574,fallback (filled cell)
females,5–14,1,mantle_cell,0.006100000000000005,fallback (filled cell)
females,5–14,2,mantle_cell,0.006149999999999994,fallback (filled cell)
females,5–14,3,mantle_cell,0.013850000000000006,fallback (filled cell)
females,5–14,4,mantle_cell,0.014699999999999996,fallback (filled cell)
females,5–14,5,mantle_cell,0.012600000000000005,fallback (filled cell)
females,5–14,1,hodgkin,0.0024000000000000037,fallback (non-improving)
