P,cases_mid,cases_p025,cases_p975,asr_mid,asr_p025,asr_p975,subtype,sex,tier
2035,590.040964234546,555.343413801051,626.8645934576398,3.5267834909278903,3.3099065647624237,3.7494907361545406,hodgkin,males,agg
2036,601.3846686869379,565.2025803077064,639.618721466357,3.5439257256577834,3.3205049905887734,3.7711067237220597,hodgkin,males,agg
2037,613.1916979546559,575.69999659475,652.6029102086486,3.5616664159020845,3.3330300535009423,3.791771302339265,hodgkin,males,agg
2038,624.9341052787913,585.808948921502,666.1356059594675,3.5796743703425786,3.348979821068949,3.8170220106209602,hodgkin,males,agg
2039,636.5593558866051,595.9118913910029,679.595281301806,3.5982222253057907,3.3589810521201544,3.840370397995829,hodgkin,males,agg
2040,647.8262549330741,605.2429043993884,692.7391896675456,3.61636884225931,3.3670448230345844,3.869706890853564,hodgkin,males,agg
2041,658.9533477185463,614.5724481516513,705.9775779275855,3.6334055433815857,3.3804084519474866,3.901718922890773,hodgkin,males,agg
2042,667.8947187018409,623.1661962435963,715.6006379670666,3.6365591204978465,3.3825583721968555,3.903226433392417,hodgkin,males,agg
2043,676.8995190982449,631.3633113988614,725.2369098400889,3.6411926597687074,3.3853787699994706,3.9040118876242107,hodgkin,males,agg
2044,686.1974448101868,639.6310169037423,735.3084777437517,3.645480018636655,3.388781634347937,3.906511225052393,hodgkin,males,agg
2045,695.6152619188997,647.7595819996486,745.6763008217175,3.651319219333363,3.3926891404938235,3.9116944453258875,hodgkin,males,agg
2022,348.2870639795701,324.04351082375115,372.79200714883535,2.5982433481606835,2.4156616025063995,2.785491295268893,hodgkin,females,agg
2023,359.12097758156983,335.47031269803136,383.67607499523376,2.617949236641084,2.441852858693712,2.7951854985866547,hodgkin,females,agg
2024,368.71121807770436,345.1425968172908,393.1255445839267,2.636708632889939,2.4669449300613353,2.8119487965605403,hodgkin,females,agg
2025,378.1925579529443,354.93961653495296,402.68569382255697,2.654550561200623,2.4823220704858064,2.833423220918961,hodgkin,females,agg
2026,387.2717928889618,363.1903621646543,412.55134108107944,2.6696922940618286,2.4982051110643,2.8557795371111205,hodgkin,females,agg
2027,396.1155423378041,371.7552731936162,421.5582686097218,2.6855561863723665,2.5170405593974015,2.875396062752961,hodgkin,females,agg
2028,404.50003414116156,379.60384188398706,430.7256485783221,2.7009273623902708,2.5350586351049227,2.8901460074730148,hodgkin,females,agg
2029,413.073758326381,386.77861357864094,439.90902029197076,2.7128828123239206,2.542853907893194,2.9019854236532,hodgkin,females,agg
2030,421.2947552598231,394.95656541096804,449.7275318019064,2.7254561834259428,2.549137782755047,2.9108282935356162,hodgkin,females,agg
2031,429.4887233426921,402.1325600090671,460.1262302819783,2.7348901118144404,2.5538127116909783,2.924648456405118,hodgkin,females,agg
2032,436.9147956813289,409.25489154642594,468.6477329519468,2.7392050844453637,2.5598069541690043,2.930423505858126,hodgkin,females,agg
2033,444.3934958056438,415.9024131836016,476.5196850555599,2.7432090063149417,2.5640933675077995,2.937482021227329,hodgkin,females,agg
2034,451.7102141302015,422.49694626668094,484.4981955971056,2.747312397193155,2.5644710751974267,2.9451168368450062,hodgkin,females,agg
2035,458.8448405427263,428.8257703598515,492.87718427540335,2.7514718854328084,2.5657831532666466,2.954794503344297,hodgkin,females,agg
2036,466.1985478598748,435.4090032406336,501.8641685867224,2.7545273371326244,2.566854139269802,2.964933835417461,hodgkin,females,agg
2037,473.4473100906108,441.53765095759775,510.9626773468309,2.757672373673879,2.5663295561820885,2.9753879434484953,hodgkin,females,agg
2038,480.52616490317223,447.50985600809946,519.4538665156372,2.761429974056811,2.563524671797665,2.9847782080087053,hodgkin,females,agg
2039,487.38808482102473,453.2362205077542,528.1719288667495,2.7652657500526594,2.5616967031577134,2.9943577716999252,hodgkin,females,agg
2040,494.0883906855819,458.35691088809915,536.3773491282298,2.7686072683438843,2.559939452751654,3.0079589300848224,hodgkin,females,agg
2041,500.7212135521597,463.3106757017537,545.2940225289236,2.7723470242587,2.557310780176496,3.0150379447695688,hodgkin,females,agg
2042,506.33894147053303,468.2975696137153,551.0532134393193,2.767028818420678,2.5554686614813313,3.006179042292912,hodgkin,females,agg
2043,512.0951212951616,473.59722869047096,557.3664025981276,2.762391891574029,2.554709234738304,2.9981668636366967,hodgkin,females,agg
2044,518.1049031448795,479.118209187896,564.3135245522551,2.758905919662811,2.5522834102794585,2.9941672488154603,hodgkin,females,agg
2045,523.9278815245982,484.40070346760143,571.1268903133763,2.7566572876777276,2.5510922065050385,2.992414626590429,hodgkin,females,agg
2022,1259.8345275277609,1204.869788833917,1315.0654330651998,8.196634039853581,7.841661374465262,8.558178047710358,dlbcl,males,subtype
2023,1296.4926481804966,1240.5595821968745,1352.3675272626474,8.177281024709309,7.828221606895913,8.52378179640202,dlbcl,males,subtype
2024,1330.886105005129,1275.0826456299178,1389.0523287553747,8.14853173553782,7.804424815391781,8.501648453807658,dlbcl,males,subtype
2025,1365.5793203914259,1308.546832181224,1426.8766320514717,8.118970914829676,7.7822190750186495,8.477624668210126,dlbcl,males,subtype
2026,1401.6048480327456,1341.6370941422065,1465.9989079530278,8.089045796179075,7.749998185608807,8.459911848200884,dlbcl,males,subtype
2027,1437.8740135602484,1373.2287436363104,1503.726055268173,8.06081797248833,7.710176454899065,8.436940074990803,dlbcl,males,subtype
2028,1472.2434077307414,1403.7398895452893,1541.7859808828614,8.030023899489574,7.663633257614933,8.411575877656022,dlbcl,males,subtype
2029,1504.8783755961344,1433.3370106441655,1578.5548489461473,7.995325285342212,7.615094269673266,8.391389942282622,dlbcl,males,subtype
2030,1534.7572689932326,1459.1657101621004,1612.5155368977737,7.95180213468612,7.562076448447825,8.367483866547863,dlbcl,males,subtype
2031,1562.3775192636797,1482.7045502158358,1648.8938027456802,7.900038808108574,7.491330635616644,8.345365226322015,dlbcl,males,subtype
2032,1590.6318152121084,1506.6988941813818,1683.1179043702964,7.855493133560862,7.436339334123264,8.321415910387648,dlbcl,males,subtype
2033,1616.0001016849365,1526.0901227296897,1715.8160880963703,7.803016557475397,7.3774175417588514,8.29045060330397,dlbcl,males,subtype
2034,1639.3321447328035,1544.2172123101382,1744.8120349474061,7.748583614708984,7.303088956069126,8.244070514402392,dlbcl,males,subtype
2035,1660.555049532718,1562.0411110277028,1772.977773844165,7.688052177957616,7.226761323765602,8.202680921115535,dlbcl,males,subtype
2036,1683.3016309257096,1579.6934233713196,1804.0244164759908,7.624628304756669,7.153629293531286,8.166634401702156,dlbcl,males,subtype
2037,1705.2702581955277,1597.5680758705485,1832.9461054780902,7.56473592391986,7.066334851743524,8.115823512705855,dlbcl,males,subtype
2038,1724.4028400311377,1613.477615842948,1859.313161061334,7.4982686480666,6.986125455670887,8.078010148582845,dlbcl,males,subtype
2039,1741.630026965056,1622.498390803438,1882.88575019147,7.433306021217003,6.899327772793904,8.043936317781608,dlbcl,males,subtype
2040,1756.6350780812986,1631.1653274459468,1903.3519643461989,7.365288819169722,6.809216596346405,8.000461604888706,dlbcl,males,subtype
2041,1768.4440915099808,1638.259480847007,1920.5704290726048,7.292223132974705,6.722409512114744,7.952858413525524,dlbcl,males,subtype
2042,1780.5211402940972,1643.9474327981275,1938.388511830695,7.233032983584588,6.643889787099526,7.918909361873293,dlbcl,males,subtype
2043,1789.9766591585962,1646.7466874202241,1953.5339137213807,7.172808780630049,6.563332982261937,7.882137358284452,dlbcl,males,subtype
2044,1799.3906616776226,1651.3660737360738,1968.6929651004773,7.10625400138543,6.479664628751441,7.836351886260596,dlbcl,males,subtype
2045,1807.6468670458357,1653.2036654087728,1984.7763100570753,7.033481135474304,6.392114428730782,7.795997728038074,dlbcl,males,subtype
2022,958.7043383758032,914.5849602102226,1006.8292023610761,5.573204563075345,5.305018518947338,5.862184941681633,dlbcl,females,subtype
2023,981.0858631372612,936.3544844820252,1030.3030339993747,5.5322185362038585,5.2717717117147656,5.823323031885589,dlbcl,females,subtype
2024,1002.7959334000675,956.5874896759425,1054.892974224154,5.495538838576427,5.229765426727879,5.798844552825034,dlbcl,females,subtype
2025,1024.2548786163563,976.786859825068,1078.8932690619683,5.461323800195858,5.198636405647261,5.767936709611443,dlbcl,females,subtype
2026,1046.6237782617,996.7618831190175,1102.4120845752375,5.424461842575742,5.153418712344441,5.721071201214104,dlbcl,females,subtype
2027,1068.259154050836,1015.1791519079911,1126.297878440203,5.386912496352904,5.10219438048879,5.698048781554909,dlbcl,females,subtype
2028,1088.6933578118942,1032.637636585793,1149.3153802929623,5.354450294808466,5.057530764708184,5.672788803828038,dlbcl,females,subtype
2029,1108.2344963794458,1049.1199550610015,1174.622250734993,5.319993505782213,5.017928408847273,5.6561465405733715,dlbcl,females,subtype
2030,1127.1922611356335,1063.1845711930014,1198.9411040041214,5.289437978952053,4.97498259053598,5.64485008272469,dlbcl,females,subtype
2031,1145.4658535399028,1077.3867663953438,1221.366775934126,5.259332569435388,4.922326985626724,5.632959779677452,dlbcl,females,subtype
2032,1165.2829228337828,1092.5854479524044,1246.8041557503516,5.2327117637445575,4.873561410064573,5.635764626025612,dlbcl,females,subtype
2033,1183.627729774804,1107.4543198959495,1270.4324211984995,5.2061983374542065,4.837346397993,5.635633165109338,dlbcl,females,subtype
2034,1203.5488636014472,1122.1267580363283,1294.0204785415385,5.181870148777857,4.799337734249054,5.6385223857183835,dlbcl,females,subtype
2035,1222.7714683552595,1136.3012452040718,1319.4743197122468,5.16046322844482,4.759199160352488,5.639226268986191,dlbcl,females,subtype
2036,1242.9973706244712,1150.5215481717091,1346.7922212480705,5.137229713288981,4.718712816726215,5.63941705807816,dlbcl,females,subtype
2037,1262.32211299939,1162.912166609968,1373.5928611178715,5.120071276304854,4.674927767102958,5.638574342536044,dlbcl,females,subtype
2038,1280.4367823752382,1176.4881294056054,1399.7971275721977,5.1019131260750346,4.633609192856049,5.647614735916402,dlbcl,females,subtype
2039,1297.9878297364412,1187.4761803796328,1424.8547976301013,5.087191673398695,4.5966393832880845,5.6585935580497795,dlbcl,females,subtype
2040,1314.0552186592265,1197.6500306817106,1450.24555686934,5.070022738044303,4.5577100314296315,5.67490178591333,dlbcl,females,subtype
2041,1329.1389319820967,1207.1678032294958,1475.1927963976987,5.058676443808507,4.519622194020347,5.698401239035376,dlbcl,females,subtype
2042,1344.3836339990285,1215.503564038568,1497.4226740292138,5.046986805266673,4.490559957140321,5.713371385839022,dlbcl,females,subtype
2043,1358.8472115935397,1222.88507135406,1519.804746035677,5.036004463343773,4.462528693795815,5.723036754447619,dlbcl,females,subtype
2044,1373.9986428723173,1230.0743707034162,1543.8767617003557,5.026536958200282,4.434330531854621,5.740199521847649,dlbcl,females,subtype
2045,1389.4056416684896,1237.7049167470009,1567.9971806470658,5.017967627169299,4.406037472284704,5.759825938778382,dlbcl,females,subtype
2022,811.4278032668087,769.455111539594,858.3519783755131,5.320297766820778,5.049437604879073,5.632505423807068,follicular,males,subtype
2023,832.0963840971608,789.4250779925155,880.018934817259,5.30808329690041,5.0313145496785125,5.616682727111318,follicular,males,subtype
2024,851.9574873889605,807.969719128974,899.8016326274329,5.288753945000328,5.008482590424128,5.5954545497701025,follicular,males,subtype
2025,870.747043427906,824.7932735039557,920.035592395626,5.264686191734539,4.9806880395572755,5.562889795416729,follicular,males,subtype
2026,890.0948018736731,842.3053447747078,941.2013959571341,5.236911702249838,4.950469154186457,5.54230210763449,follicular,males,subtype
2027,908.0097450951512,857.4725377217734,961.2237790616009,5.20193864620035,4.905917229107804,5.517135068022765,follicular,males,subtype
2028,924.1734146239048,871.5429759769468,981.3628745475072,5.162878799834127,4.861870351603215,5.4870148900114915,follicular,males,subtype
2029,939.0038161197392,883.3919428222572,1000.0599944792942,5.118482374211533,4.804785809538098,5.453457250393642,follicular,males,subtype
2030,952.083785733789,893.2726010880541,1015.8190274333704,5.076227394249784,4.748365144519314,5.426589434644483,follicular,males,subtype
2031,963.9739135164784,902.4310258508393,1030.497913414295,5.0294456217862695,4.694836350594151,5.391016885703122,follicular,males,subtype
2032,974.7426231290045,910.3193295159626,1044.8492138768693,4.9857488909430225,4.641306027510017,5.356373105385083,follicular,males,subtype
2033,985.2014528608536,917.3486713973125,1058.748825055052,4.938886268289666,4.5843946080836515,5.324821699695917,follicular,males,subtype
2034,995.1796318543679,923.3331190154724,1072.5309213678966,4.886650402900253,4.522332288861518,5.286268099652711,follicular,males,subtype
2035,1003.9469992605868,927.6245318720286,1084.8867675079866,4.833587678600506,4.455215268317236,5.24620929496253,follicular,males,subtype
2036,1012.0407581528857,931.1198182746429,1096.3452265159374,4.775068679863022,4.385913318411699,5.198945067843306,follicular,males,subtype
2037,1018.5917715210867,934.3822736594411,1106.690906461569,4.7111478288064355,4.30499110636652,5.147375807441607,follicular,males,subtype
2038,1022.6706308113362,935.543720051868,1116.088432934926,4.641332619692474,4.229792315759517,5.094809800687986,follicular,males,subtype
2039,1024.683724402361,935.0556529662874,1123.250250294382,4.568803535293847,4.152107363907051,5.04053645851108,follicular,males,subtype
2040,1024.8010548687564,932.9771150624617,1126.7720420384144,4.492164488010265,4.072295749077747,4.980676226004708,follicular,males,subtype
2041,1023.6281518443689,927.1368809721322,1130.5391785983895,4.41276429268455,3.9910511820605716,4.920657934760538,follicular,males,subtype
