tier,n_a,n_p,n_c,tot_knots,n_models,mean_mape,max_mape,mean_abs_pe21,mean_dev_df,mean_aic
subtype,4,4,7,15,6,7.883460408025155,17.857318558583575,14.27966777188504,1.4164333117953296,1012.1967619534357
subtype,7,6,7,20,6,8.642107094368807,20.682608660426908,16.345618149628248,1.129700661105014,969.4175533289015
subtype,5,6,7,18,6,8.644057144499518,20.682608660426908,16.291201319099223,1.2784613079636604,992.0391465414268
subtype,4,4,4,12,6,8.646154128380719,19.517691301956464,17.246182001478154,1.6454934781165422,1047.6034914573138
subtype,6,6,7,19,6,8.725548776731346,20.682608660426908,16.48358297571278,1.2564045687796837,988.8943011848661
subtype,4,5,4,13,6,8.771106310254158,19.868637778390404,17.882389369301414,1.6438959694681226,1047.697718178688
subtype,7,5,7,19,6,8.791021675658651,20.750364473344018,16.555051896113596,1.1314650838734936,968.8242683646577
subtype,5,5,7,17,6,8.794248653361672,20.750364473344018,16.500759846280474,1.2788542814958317,991.3800040516068
subtype,4,6,4,14,6,8.837086243228976,20.212551962791157,18.040720122065466,1.6453367799634204,1048.2849775178795
subtype,4,7,4,15,6,8.87191166172924,19.8888361613507,17.956446266659075,1.650341438893088,1049.4352185311461
subtype,6,5,7,18,6,8.872816933248641,20.750364473344018,16.69343672076887,1.2571858593354297,988.2737595051792
subtype,5,7,7,19,6,8.894772204805074,20.633756768869997,16.31414392593752,1.2812457107291901,993.1950451065943
subtype,7,7,7,21,6,8.901458444819113,20.633756768869997,16.36966216638557,1.1316326331094695,970.5873083284868
subtype,6,7,7,20,6,8.98575455289463,20.633756768869997,16.507153689453844,1.259038626050832,990.0484186003866
subtype,5,4,7,16,6,9.072905470435067,21.461386519800655,16.553220496350114,1.2807845644066649,990.9658972470479
subtype,7,4,7,18,6,9.07552498660595,21.461386519800655,16.488637392261026,1.1349682416171576,968.50923237203
subtype,6,4,7,17,6,9.144467303359319,21.461386519800655,16.62935198055199,1.2595095895527089,987.9009351096197
subtype,4,4,5,13,6,9.184977375311654,19.72785340517945,18.39536950549755,1.504969202764834,1025.293200023068
subtype,4,5,5,14,6,9.30735437563428,20.07961902378111,19.017591954692254,1.502819748997808,1025.4418706047163
subtype,4,6,5,15,6,9.398424714986717,20.424717949572933,19.173922304412933,1.5036149819753755,1026.0660250732524
subtype,4,7,5,16,6,9.428870785752597,20.10042185683919,19.091069379500183,1.5077825681187274,1027.2205163425524
subtype,4,4,6,14,6,9.48345437791879,22.422718591957747,20.438647491829727,1.4556048459774786,1017.8828102431518
