scenario,year,subtype,sex,duration,prev_mid,prev_p025,prev_p975,prev_mean
conservative,2014,follicular,persons,40,15192.82798746459,13800.478397754923,16768.567765079562,15220.398600605502
conservative,2015,follicular,persons,40,15830.153553328742,14368.663144799628,17479.86454252788,15853.70188046254
conservative,2016,follicular,persons,40,16541.52269058345,15001.135023986953,18262.011666762868,16557.744600548485
conservative,2017,follicular,persons,40,17371.23814757668,15758.54240227678,19163.954374505098,17385.592563317015
conservative,2018,follicular,persons,40,18130.728435341698,16467.208632433994,19983.976418822393,18136.065673866742
conservative,2019,follicular,persons,40,18913.030103810233,17224.007766118473,20833.219124586074,18921.80773656031
conservative,2020,follicular,persons,40,19882.114478183954,18157.018647960376,21842.539799570608,19883.851559515144
conservative,2021,follicular,persons,40,20666.151055320675,18916.29068893071,22668.657175867207,20666.756230646937
conservative,2022,follicular,persons,40,21423.23650476147,19664.857330236402,23445.618933629597,21439.678233552662
conservative,2023,follicular,persons,40,22196.16487748199,20470.895915527788,24237.93447462338,22226.69913685459
conservative,2024,follicular,persons,40,22984.12284642041,21277.32394088292,24994.558744984544,23015.92153577144
conservative,2025,follicular,persons,40,23776.210512612204,22077.761898842542,25741.625193679418,23810.240500020034
conservative,2026,follicular,persons,40,24584.14973123052,22896.496224654464,26477.305577791823,24608.2927362783
conservative,2027,follicular,persons,40,25360.684652128424,23717.60985147479,27198.55891460007,25399.922021884642
conservative,2028,follicular,persons,40,26151.580856861423,24543.828374159708,27943.93423533519,26194.208513464662
conservative,2029,follicular,persons,40,26939.311417936773,25335.29971536118,28671.85908836645,26973.525293957435
conservative,2030,follicular,persons,40,27696.82074233514,26133.18190385919,29431.973625268398,27731.128584780785
conservative,2031,follicular,persons,40,28441.165018609867,26924.21326521428,30111.35222635747,28474.646236987308
conservative,2032,follicular,persons,40,29158.54542461361,27657.156615579508,30791.12849390293,29188.53473466587
conservative,2033,follicular,persons,40,29855.306345557376,28371.528277879832,31505.522210095623,29881.996701849053
conservative,2034,follicular,persons,40,30526.23101825109,28998.527147335226,32157.08947243798,30552.35301431435
conservative,2035,follicular,persons,40,31196.710931470403,29652.54237617307,32805.40352271344,31198.91445009599
conservative,2036,follicular,persons,40,31818.524965039454,30237.197120087552,33446.967309016414,31815.138778628658
conservative,2037,follicular,persons,40,32429.21693507737,30816.1628846082,34076.869194113235,32410.612425050866
conservative,2038,follicular,persons,40,32983.76131552688,31366.918672566193,34708.69125216801,32980.029722080784
conservative,2039,follicular,persons,40,33498.375788739795,31826.40598091814,35294.452508945906,33512.664197843456
conservative,2040,follicular,persons,40,33985.72975950717,32247.37373744309,35845.94486708386,33995.14089414517
conservative,2041,follicular,persons,40,34395.48710672092,32586.08275614099,36382.60740137446,34432.88375187167
conservative,2042,follicular,persons,40,34777.54821412476,32882.6926030903,36863.69324570927,34826.544203038684
conservative,2043,follicular,persons,40,35134.56769114337,33154.631721493744,37410.1506760741,35195.13692458366
conservative,2044,follicular,persons,40,35442.45472892898,33366.05105928591,37874.1008767067,35519.184385792025
