year,prev_mid,prev_p025,prev_p975,prev_mean,duration,subtype,sex
2035,3450.974090033335,3195.7047864690558,3742.986724578638,3455.750515426389,5,follicular,females
2036,3454.975627080852,3188.046007783873,3759.938936974116,3458.942232762164,5,follicular,females
2037,3455.295448685142,3177.6192799105584,3779.3644320439053,3459.133375001012,5,follicular,females
2038,3451.488188575076,3160.921117864384,3785.9045255793376,3454.984948643397,5,follicular,females
2039,3442.088082484449,3138.39584530523,3789.1642058019092,3444.8127335078557,5,follicular,females
2040,3424.4110857814862,3114.9625186579,3781.039101957096,3427.8304576833134,5,follicular,females
2041,3399.8920746720632,3084.4809575552927,3766.1221613444077,3403.086386553438,5,follicular,females
2042,3369.3889265370344,3043.80435982305,3738.451986246705,3371.452792307031,5,follicular,females
2043,3331.3505292906657,2999.641999494675,3714.9832417026655,3334.2011485043745,5,follicular,females
2044,3290.995918216663,2955.0884835017937,3681.375873211867,3293.7712161480804,5,follicular,females
2045,3249.691267672225,2909.812146994031,3645.262132185889,3252.143600700988,5,follicular,females
2012,3782.966335149913,3703.4951678079183,3859.586063267737,3782.5786047002716,10,follicular,females
2013,3898.4070385894947,3819.920333820001,3969.769524468856,3897.6567226298585,10,follicular,females
2014,4027.2029250156193,3952.0178883388626,4096.821985372932,4026.854146171238,10,follicular,females
2015,4119.497667223619,4046.7038932204473,4187.035189452797,4118.374526630033,10,follicular,females
2016,4264.692672899482,4197.362841014668,4330.225154798569,4264.11322357223,10,follicular,females
2017,4440.230569773291,4379.8051362324995,4497.811498671694,4439.485006501757,10,follicular,females
2018,4547.6117577154655,4496.99424776433,4597.703461687824,4546.7995805934115,10,follicular,females
2019,4644.383287327742,4601.275526239199,4688.254189407395,4644.42087204055,10,follicular,females
2020,4856.618116396922,4810.941769978202,4903.394615000268,4857.3338397198695,10,follicular,females
2021,5013.525038120873,4950.013995752186,5072.6959594371365,5013.130415047681,10,follicular,females
2022,5138.25619746341,5072.735135637061,5203.608029522007,5138.6341380644935,10,follicular,females
2023,5270.977874333601,5182.390002314443,5361.045767434042,5272.591793843738,10,follicular,females
2024,5389.040097848732,5269.366526968813,5505.501465297802,5390.390833276339,10,follicular,females
2025,5525.19019392011,5373.317618327701,5678.970193794466,5527.401738876433,10,follicular,females
2026,5640.863040856043,5448.954419893183,5827.5708057953325,5642.6163438782505,10,follicular,females
2027,5725.644058112297,5505.4622609680355,5952.451783523884,5729.642248686916,10,follicular,females
2028,5871.608441072905,5613.216292484314,6140.925502002441,5873.054753944829,10,follicular,females
2029,6006.123797027489,5710.7885081909535,6314.52765558303,6009.0673077147985,10,follicular,females
2030,6056.830619903637,5725.754341970136,6412.176690251309,6062.562657647249,10,follicular,females
2031,6180.773646508625,5814.02348439259,6589.101557578554,6190.377745869767,10,follicular,females
2032,6282.994218386613,5896.70634480978,6715.439915517651,6289.752135187556,10,follicular,females
2033,6373.533973737496,5955.420223678598,6826.590354076917,6377.970057863456,10,follicular,females
2034,6449.773110377029,6006.908434022771,6917.773037946188,6454.9914509880755,10,follicular,females
2035,6514.616959746896,6052.86644590954,7017.274157325929,6519.315318153929,10,follicular,females
2036,6563.326194190189,6080.413008572514,7096.8606139661215,6569.390560613981,10,follicular,females
2037,6594.023594902947,6097.0256967301075,7164.31984238292,6604.13713135617,10,follicular,females
2038,6612.020504637911,6094.2391420439835,7210.745492606038,6622.787528703245,10,follicular,females
2039,6613.191005406788,6067.510831352844,7243.956700505305,6624.874877293911,10,follicular,females
2040,6597.75358073166,6023.819190874144,7257.970164400601,6609.981834765734,10,follicular,females
2041,6567.099557894982,5965.365817046831,7252.26113495797,6577.60611659658,10,follicular,females
2042,6524.295590491984,5906.641947195292,7224.962461958401,6535.847810923413,10,follicular,females
2043,6469.900225148143,5834.215758818956,7200.710729332846,6484.647850319013,10,follicular,females
2044,6407.635020741753,5748.231592601703,7160.331812266814,6424.774563608759,10,follicular,females
2045,6342.6664414176,5664.765820090572,7108.680668862152,6357.4131901366645,10,follicular,females
2012,6313.552567421655,5588.841762155215,7230.003166008742,6347.81343006843,40,follicular,females
2013,6586.203095957888,5824.562013495382,7553.236080804128,6625.912332672329,40,follicular,females
2014,6891.941185691534,6102.147311588217,7907.538050780895,6935.2435230981555,40,follicular,females
2015,7162.970195853426,6336.72594913491,8221.684945041803,7209.553477377346,40,follicular,females
2016,7484.864109879563,6629.391996993727,8590.076622919954,7533.195134892582,40,follicular,females
2017,7863.641541080448,6983.588105669584,9012.698053150953,7914.058603024059,40,follicular,females
2018,8188.904474360021,7289.7793062591045,9370.755538271713,8239.670189745497,40,follicular,females
2019,8514.63685980663,7580.775699616223,9738.027770637524,8566.23517458384,40,follicular,females
2020,8956.066608452527,8000.1652465029865,10218.500871937958,9008.189668395986,40,follicular,females
2021,9303.644403383692,8330.400109280305,10605.645159621286,9354.697284295236,40,follicular,females
2022,9653.242913799437,8690.55873979008,10957.927987058309,9701.552503058907,40,follicular,females
2023,10011.53843530941,9056.927680424868,11313.653864515074,10060.237187195524,40,follicular,females
2024,10377.827066733556,9437.699077933954,11643.433998661336,10423.294822521548,40,follicular,females
2025,10746.637793203123,9821.189567894098,11999.931879883785,10792.884207056242,40,follicular,females
2026,11126.913801733066,10221.34893239455,12348.681543617686,11170.647349000506,40,follicular,females
2027,11517.632682029121,10634.90419927243,12697.064184103176,11551.99513690507,40,follicular,females
2028,11912.740888640972,11040.744891959306,13064.366675154475,11942.554007241662,40,follicular,females
2029,12301.907985629412,11433.207844915778,13409.969393672263,12332.801132700924,40,follicular,females
2030,12694.898283449766,11830.177232035707,13800.949647665575,12729.20412210379,40,follicular,females
2031,13096.817700911126,12230.20985330926,14171.445200694372,13127.08835438842,40,follicular,females
2032,13491.287571107627,12602.720992442015,14535.572141780025,13520.5467258461,40,follicular,females
2033,13888.769050278715,13000.54763856632,14935.50935128017,13916.52682092459,40,follicular,females
2034,14277.55292121187,13361.43245829684,15303.957178137101,14305.339761465742,40,follicular,females
2035,14675.041385910168,13747.64290151726,15677.41406908581,14692.46166125368,40,follicular,females
2036,15064.02246671827,14088.84268249088,16082.76323223885,15072.732468952638,40,follicular,females
2037,15443.798857170976,14418.630933789791,16514.578627648116,15448.34179621846,40,follicular,females
2038,15826.344420714324,14740.7228016297,16904.87955023155,15818.043116671317,40,follicular,females
2039,16192.410547739386,15057.872405815673,17371.03516673128,16178.169373478542,40,follicular,females
2040,16546.28805661614,15306.998221957945,17806.37486528216,16521.660036388654,40,follicular,females
2041,16885.141851830125,15537.2378911112,18238.420977139896,16852.571296283477,40,follicular,females
2042,17177.024700780035,15681.236546625807,18621.869015030574,17158.63656347829,40,follicular,females
2043,17483.361255343603,15894.298933481838,19036.981236673346,17459.063728022407,40,follicular,females
2044,17771.095843480005,16041.676778089291,19456.815050320918,17740.345121327715,40,follicular,females
2045,18020.966070195907,16181.259795606042,19849.887229407996,18006.385984009663,40,follicular,females
2012,267.39010834960476,263.20284070631317,271.17219468578554,267.38277745965684,2,mantle_cell,males
2013,287.7327575919109,281.29215563239904,293.3077023688513,287.6470392633275,2,mantle_cell,males
2014,312.35701997081594,304.84613776716776,318.64324902861625,312.3071902783364,2,mantle_cell,males
2015,309.3649453091971,301.5881775553137,315.79858896051013,309.2866364859463,2,mantle_cell,males
2016,317.2292274749568,309.32719492866903,323.8115756311098,317.0995045635206,2,mantle_cell,males
2017,372.050066521914,366.39115735587274,377.2474171852114,371.99688872485524,2,mantle_cell,males
2018,383.40547897287735,376.9933290953918,389.50156752585247,383.20523172731333,2,mantle_cell,males
2019,395.5560026171057,388.5494923060051,401.8197546275341,395.31995084992883,2,mantle_cell,males
2020,437.26770077800194,429.02929556324256,444.4718251525321,436.9870224562213,2,mantle_cell,males
2021,387.06694781891133,378.4052328574469,394.4255805225163,386.8360181847485,2,mantle_cell,males
2022,366.8166379212994,346.7549232364801,391.49732398910623,367.40139317026706,2,mantle_cell,males
2023,403.47081950099613,366.01815762350844,448.93919943860055,404.60117559791746,2,mantle_cell,males
2024,421.36430947995444,381.301850676372,470.1095122321316,422.8145290476088,2,mantle_cell,males
2025,440.03275594251073,396.02283555600746,490.9158215405578,441.61076292219707,2,mantle_cell,males
2026,460.2960722291988,411.9380887749002,517.5516290018929,461.8306052966365,2,mantle_cell,males
2027,482.184501305613,428.4295123472937,543.847585644605,483.27539691523657,2,mantle_cell,males
